Constituent fund name,Date,Currency,NAV / unit
Manulife MPF North American Equity Fund,01/03/2021,HKD,24.038
Manulife MPF North American Equity Fund,02/03/2021,HKD,23.838
Manulife MPF North American Equity Fund,03/03/2021,HKD,23.367
Manulife MPF North American Equity Fund,04/03/2021,HKD,23.109
Manulife MPF North American Equity Fund,05/03/2021,HKD,23.515
Manulife MPF North American Equity Fund,08/03/2021,HKD,23.232
Manulife MPF North American Equity Fund,09/03/2021,HKD,23.663
Manulife MPF North American Equity Fund,10/03/2021,HKD,23.746
Manulife MPF North American Equity Fund,11/03/2021,HKD,24.190
Manulife MPF North American Equity Fund,12/03/2021,HKD,24.102
Manulife MPF North American Equity Fund,15/03/2021,HKD,24.252
Manulife MPF North American Equity Fund,16/03/2021,HKD,24.276
Manulife MPF North American Equity Fund,17/03/2021,HKD,24.429
Manulife MPF North American Equity Fund,18/03/2021,HKD,23.884
Manulife MPF North American Equity Fund,19/03/2021,HKD,23.952
Manulife MPF North American Equity Fund,22/03/2021,HKD,24.142
Manulife MPF North American Equity Fund,23/03/2021,HKD,23.954
Manulife MPF North American Equity Fund,24/03/2021,HKD,23.676
Manulife MPF North American Equity Fund,25/03/2021,HKD,23.695
Manulife MPF North American Equity Fund,26/03/2021,HKD,24.033
Manulife MPF North American Equity Fund,29/03/2021,HKD,23.987
Manulife MPF North American Equity Fund,30/03/2021,HKD,23.921
Manulife MPF North American Equity Fund,31/03/2021,HKD,24.096
Manulife MPF North American Equity Fund,01/04/2021,HKD,24.483
Manulife MPF North American Equity Fund,07/04/2021,HKD,25.015
Manulife MPF North American Equity Fund,08/04/2021,HKD,25.207
Manulife MPF North American Equity Fund,09/04/2021,HKD,25.435
Manulife MPF North American Equity Fund,12/04/2021,HKD,25.362
Manulife MPF North American Equity Fund,13/04/2021,HKD,25.469
Manulife MPF North American Equity Fund,14/04/2021,HKD,25.282
Manulife MPF North American Equity Fund,15/04/2021,HKD,25.640
Manulife MPF North American Equity Fund,16/04/2021,HKD,25.638
Manulife MPF North American Equity Fund,19/04/2021,HKD,25.494
Manulife MPF North American Equity Fund,20/04/2021,HKD,25.210
Manulife MPF North American Equity Fund,21/04/2021,HKD,25.420
Manulife MPF North American Equity Fund,22/04/2021,HKD,25.209
Manulife MPF North American Equity Fund,23/04/2021,HKD,25.567
Manulife MPF North American Equity Fund,26/04/2021,HKD,25.724
Manulife MPF North American Equity Fund,27/04/2021,HKD,25.712
Manulife MPF North American Equity Fund,28/04/2021,HKD,25.781
Manulife MPF North American Equity Fund,29/04/2021,HKD,25.981
Manulife MPF North American Equity Fund,30/04/2021,HKD,25.746
Manulife MPF North American Equity Fund,03/05/2021,HKD,25.655
Manulife MPF North American Equity Fund,04/05/2021,HKD,25.341
Manulife MPF North American Equity Fund,05/05/2021,HKD,25.263
Manulife MPF North American Equity Fund,06/05/2021,HKD,25.435
Manulife MPF North American Equity Fund,07/05/2021,HKD,25.616
Manulife MPF North American Equity Fund,10/05/2021,HKD,25.141
Manulife MPF North American Equity Fund,11/05/2021,HKD,25.054
Manulife MPF North American Equity Fund,12/05/2021,HKD,24.461
Manulife MPF North American Equity Fund,13/05/2021,HKD,24.690
Manulife MPF North American Equity Fund,14/05/2021,HKD,25.165
Manulife MPF North American Equity Fund,17/05/2021,HKD,25.093
Manulife MPF North American Equity Fund,18/05/2021,HKD,24.880
Manulife MPF North American Equity Fund,20/05/2021,HKD,25.222
Manulife MPF North American Equity Fund,21/05/2021,HKD,25.156
Manulife MPF North American Equity Fund,24/05/2021,HKD,25.485
Manulife MPF North American Equity Fund,25/05/2021,HKD,25.503
Manulife MPF North American Equity Fund,26/05/2021,HKD,25.568
Manulife MPF North American Equity Fund,27/05/2021,HKD,25.568
Manulife MPF North American Equity Fund,28/05/2021,HKD,25.592
Manulife MPF North American Equity Fund,31/05/2021,HKD,25.586
Manulife MPF North American Equity Fund,01/06/2021,HKD,25.586
Manulife MPF North American Equity Fund,02/06/2021,HKD,25.596
Manulife MPF North American Equity Fund,03/06/2021,HKD,25.406
Manulife MPF North American Equity Fund,04/06/2021,HKD,25.682
Manulife MPF North American Equity Fund,07/06/2021,HKD,25.724
Manulife MPF North American Equity Fund,08/06/2021,HKD,25.764
Manulife MPF North American Equity Fund,09/06/2021,HKD,25.733
Manulife MPF North American Equity Fund,10/06/2021,HKD,25.889
Manulife MPF North American Equity Fund,11/06/2021,HKD,25.988
Manulife MPF North American Equity Fund,15/06/2021,HKD,26.051
Manulife MPF North American Equity Fund,16/06/2021,HKD,25.964
